x,y,throughput_1,throughput_2,throughput_3,size
7,6,1.000000,1.000000,1.000000,0
8,6,0.486463,0.486463,0.486463,0
9,6,2.668058,2.668058,2.668058,0
10,6,1.000000,1.000000,1.000000,0
12,5,0.114435,0.114435,0.114435,0
13,6,1.175043,1.175043,1.175043,0
11,6,0.126170,0.126170,0.126170,0
12,6,0.108166,0.108166,0.108166,0
15,6,0.101504,0.101504,0.101504,0
13,5,1.000000,1.000000,1.000000,0
14,5,1.337999,1.337999,1.337999,0
15,4,1.000000,1.000000,1.000000,0
16,5,1.393767,1.393767,1.393767,1
17,6,2.274558,2.274558,2.274558,0
14,4,1.450208,1.450208,1.450208,0
16,6,0.098236,0.098236,0.098236,0
20,6,0.130402,0.130402,0.130402,0
16,4,0.101168,0.101168,0.101168,0
17,5,1.000000,1.000000,1.000000,0
17,6,0.100050,0.100050,0.100050,0
20,6,1.000000,1.000000,1.000000,0
17,4,1.561307,1.561307,1.561307,0
19,6,1.000000,1.000000,1.000000,0
22,6,1.313708,1.313708,1.313708,2
8,9,0.185345,0.185345,0.185345,1
7,8,1.116907,1.116907,1.116907,0
9,9,1.718046,1.718046,1.718046,0
7,7,1.000000,1.000000,1.000000,0
10,8,0.447356,0.447356,0.447356,0
10,9,0.108210,0.108210,0.108210,0
7,8,0.140604,0.140604,0.140604,0
10,10,1.299847,1.299847,1.299847,0
7,9,1.000000,1.000000,1.000000,0
11,7,1.382175,1.382175,1.382175,0
12,9,0.100991,0.100991,0.100991,0
9,7,0.110750,0.110750,0.110750,0
9,10,1.223068,1.223068,1.223068,0
12,8,0.187206,0.187206,0.187206,0
9,8,0.225428,0.225428,0.225428,0
12,7,0.307651,0.307651,0.307651,0
13,10,0.109045,0.109045,0.109045,0
10,8,1.000000,1.000000,1.000000,0
14,9,0.096251,0.096251,0.096251,0
11,8,0.083468,0.083468,0.083468,0
14,7,0.100538,0.100538,0.100538,0
13,8,1.000000,1.000000,1.000000,0
11,10,0.120685,0.120685,0.120685,0
15,8,1.479097,1.479097,1.479097,0
12,10,1.088148,1.088148,1.088148,0
17,10,0.096129,0.096129,0.096129,0
15,10,0.097586,0.097586,0.097586,0
16,7,0.101040,0.101040,0.101040,0
15,8,1.158749,1.158749,1.158749,0
14,10,0.096607,0.096607,0.096607,0
11,8,0.041305,0.041305,0.041305,4
16,9,0.090088,0.090088,0.090088,0
14,7,1.029427,1.029427,1.029427,0
13,7,1.604825,1.604825,1.604825,0
12,9,0.115050,0.115050,0.115050,0
16,10,0.097603,0.097603,0.097603,0
19,8,0.111221,0.111221,0.111221,0
17,8,0.110072,0.110072,0.110072,0
20,9,1.000000,1.000000,1.000000,0
20,7,1.000000,1.000000,1.000000,0
19,9,1.000000,1.000000,1.000000,0
17,8,1.288979,1.288979,1.288979,0
18,7,1.000000,1.000000,1.000000,0
16,9,0.097900,0.097900,0.097900,0
18,8,0.684985,0.684985,0.684985,0
16,7,0.097943,0.097943,0.097943,0
19,7,1.000000,1.000000,1.000000,0
22,8,2.063033,2.063033,2.063033,0
16,8,0.133807,0.133807,0.133807,0
18,10,1.320053,1.320053,1.320053,1
22,9,0.109071,0.109071,0.109071,0
20,8,1.000000,1.000000,1.000000,0
21,7,0.128811,0.128811,0.128811,0
18,9,1.000000,1.000000,1.000000,0
20,10,0.103910,0.103910,0.103910,0
21,10,0.107405,0.107405,0.107405,0
19,7,0.096263,0.096263,0.096263,0
21,8,0.100564,0.100564,0.100564,0
19,10,0.280669,0.280669,0.280669,0
20,9,0.102612,0.102612,0.102612,0
23,9,1.000000,1.000000,1.000000,0
26,10,1.000000,1.000000,1.000000,0
23,10,1.970790,1.970790,1.970790,0
27,10,0.090754,0.090754,0.090754,0
28,9,2.286840,2.286840,2.286840,0
28,10,1.168425,1.168425,1.168425,0
29,10,1.131179,1.131179,1.131179,1
30,10,0.503198,0.503198,0.503198,0
8,12,1.986601,1.986601,1.986601,0
8,13,1.741044,1.741044,1.741044,0
8,15,1.000000,1.000000,1.000000,0
9,14,1.000000,1.000000,1.000000,0
9,11,1.220937,1.220937,1.220937,0
8,11,0.967041,0.967041,0.967041,0
10,13,0.735902,0.735902,0.735902,0
8,14,1.683880,1.683880,1.683880,0
9,12,0.119465,0.119465,0.119465,0
12,12,0.100630,0.100630,0.100630,0
14,15,0.698417,0.698417,0.698417,0
14,12,1.000000,1.000000,1.000000,0
10,14,1.000000,1.000000,1.000000,0
10,15,1.000000,1.000000,1.000000,0
12,14,1.000000,1.000000,1.000000,0
13,11,1.000000,1.000000,1.000000,0
10,15,1.324772,1.324772,1.324772,0
15,11,0.537718,0.537718,0.537718,0
11,14,0.094980,0.094980,0.094980,0
15,14,0.096646,0.096646,0.096646,0
10,11,1.043344,1.043344,1.043344,0
11,11,0.841360,0.841360,0.841360,0
15,12,0.095498,0.095498,0.095498,0
9,13,0.133197,0.133197,0.133197,0
13,14,0.097664,0.097664,0.097664,0
16,13,0.096338,0.096338,0.096338,0
13,12,0.085565,0.085565,0.085565,0
15,12,0.095374,0.095374,0.095374,0
16,11,0.095724,0.095724,0.095724,0
